Movie Title,Recommender rating,Training data average rating,Raw sim score,Training data number of ratings
judgment-at-nuremberg,4.25,4.05,5.1967,44
sherlock-his-last-vow,4.14,3.62,4.7122407,37
doctor-who-deep-breath,4.14,3.43,4.711551,21
family-guy-presents-its-a-trap,4.12,2.75,4.612077,42
the-tigger-movie,4.11,2.94,4.560446,54
red-2,4.06,2.48,4.325008,64
fun-with-dick-and-jane-1996,4.04,2.6,4.268218,69
paperman,4.04,3.88,4.2583127,63
all-star-superman,4.03,3.45,4.1907206,19
lethal-weapon-4,4.03,2.8,4.1878967,64
jersey-girl-2004,4.02,2.71,4.178505,45
rbg,4.02,3.38,4.144777,41
my-name-is-khan,4.01,3.07,4.1083794,23
land-of-the-lost,4.01,2.18,4.0943737,70
one-man-band,4.0,3.29,4.088438,55
an-extremely-goofy-movie,4.0,2.91,4.0793457,62
boxing-helena,4.0,2.47,4.065041,16
muppets-from-space,4.0,2.87,4.0572,42
star-trek-v-the-final-frontier,4.0,2.37,4.0468817,63
self-less,3.99,2.39,4.042921,44
elizabeth,3.99,3.26,4.02583,49
the-last-dance-2020,3.99,4.21,4.024927,56
ray-2004,3.99,3.3,4.016304,62
fullmetal-alchemist-brotherhood,3.99,4.25,4.004823,54
pride-and-prejudice-and-zombies,3.99,2.4,4.002505,51
the-science-of-sleep,3.97,3.26,3.9504423,44
body-of-lies,3.96,3.03,3.9084,61
tour-de-pharmacy,3.96,3.52,3.9078097,57
the-look-of-silence,3.96,4.19,3.8778536,56
crimson-tide,3.96,3.66,3.868204,58
magnum-opus-2022,3.95,3.27,3.8634923,33
amistad,3.95,3.3,3.8581781,62
south-park-imaginationland,3.95,3.62,3.8536222,33
mystery-men,3.95,3.01,3.8508563,70
love-death-robots-the-dump,3.95,2.38,3.848318,62
monster-truck-mater,3.95,2.21,3.8369005,14
double-king,3.94,3.91,3.8134513,17
the-perfect-storm,3.94,2.92,3.7966366,52
love-death-robots-three-robots,3.94,3.43,3.7851768,59
seabiscuit,3.94,2.75,3.7811217,30
shes-out-of-my-league,3.93,2.58,3.7700143,63
headhunters,3.93,3.48,3.7620516,50
doctor-who-planet-of-the-dead,3.93,2.98,3.7523947,21
of-mice-and-men-1992,3.93,3.15,3.7391653,55
transporter-3,3.92,2.32,3.724203,49
the-wrong-man,3.92,3.64,3.71669,43
death-to-2020,3.92,2.48,3.7116709,66
reign-of-fire,3.92,2.78,3.6956048,63
monsters-ball,3.92,3.03,3.6904364,44
sherlock-the-empty-hearse-2013,3.91,3.71,3.6860368,19
the-great-muppet-caper,3.91,3.61,3.6840181,61
dave-chappelle-sticks-stones,3.91,3.16,3.671544,48
game-of-thrones-conquest-rebellion-an-animated-history-of-the-seven-kingdoms,3.91,3.5,3.6674755,14
the-big-chill,3.91,3.19,3.6656842,59
the-natural,3.91,3.29,3.6549141,38
a-futile-and-stupid-gesture,3.91,2.87,3.6513996,68
mikes-new-car,3.91,3.21,3.6464581,63
lethal-weapon-3,3.91,2.98,3.6430888,65
chaplin,3.9,3.49,3.639141,46
the-monuments-men,3.9,2.47,3.6359248,70
the-wife-2017,3.9,3.21,3.6269493,58
program,3.9,3.32,3.6139073,11
love-death-robots-helping-hand,3.9,2.97,3.607573,39
graveyard-rats,3.9,3.08,3.605932,56
kung-pow-enter-the-fist,3.89,3.08,3.5943933,61
the-doors,3.89,3.34,3.5931656,68
suicide-squad-hell-to-pay,3.89,3.04,3.587246,38
the-butler,3.89,2.89,3.5780199,57
dont-worry-he-wont-get-far-on-foot,3.89,3.23,3.5703063,65
jeremiah-johnson,3.89,3.62,3.5628092,34
j-edgar,3.89,2.71,3.5561495,52
downhill-2020,3.88,2.29,3.5359707,45
curious-george,3.88,3.13,3.5255237,57
102-dalmatians,3.88,1.81,3.5253048,52
national-lampoons-loaded-weapon,3.88,2.83,3.5214477,35
saint-frances,3.88,3.91,3.5207875,37
justice-league-doom,3.88,3.26,3.519952,48
lop-ocho,3.88,2.98,3.5176773,26
dont,3.88,3.6,3.5083244,26
lou-2017,3.87,3.54,3.5061853,45
letters-from-iwo-jima,3.87,3.79,3.5013208,64
the-life-and-death-of-colonel-blimp,3.87,4.15,3.499812,39
phineas-and-ferb-the-movie-candace-against-the-universe,3.87,3.22,3.4993484,52
doctor-who-the-next-doctor,3.87,3.13,3.496148,23
v-h-s-94,3.87,2.75,3.493649,65
boundin,3.87,2.8,3.4928885,46
justice-league-the-new-frontier,3.87,3.13,3.4902377,30
love-death-robots-snow-in-the-desert,3.87,3.14,3.487038,40
step-up,3.87,2.46,3.4810095,57
love-death-robots-sucker-of-souls,3.87,2.96,3.4805999,47
dave-chappelle-the-age-of-spin,3.87,3.6,3.4783075,35
the-cider-house-rules,3.87,2.96,3.47578,42
waiting-for-guffman,3.87,3.65,3.4715853,59
the-ox-bow-incident,3.87,3.99,3.4709728,53
101-dalmatians-ii-patchs-london-adventure,3.87,2.42,3.4708724,26
judge-dredd,3.87,2.29,3.4697142,63
crazy-heart,3.87,3.18,3.4688487,47
rons-gone-wrong,3.86,3.15,3.4560268,63
cargo-2017,3.86,3.21,3.4553623,58
bill-burr-im-sorry-you-feel-that-way,3.86,3.5,3.4545653,13
the-informant-2009,3.86,3.26,3.4424694,69
eye-in-the-sky-2015,3.86,3.45,3.441193,55
the-gunfighter-2014,3.86,3.75,3.4408207,14
love-death-robots-lucky-13,3.86,2.89,3.4329944,50
homeward-bound-the-incredible-journey,3.86,3.2,3.431623,43
groot-takes-a-bath,3.86,3.2,3.4269865,38
the-guard,3.86,3.55,3.4182558,61
le-corbeau,3.85,3.88,3.4174337,21
doodlebug,3.85,3.08,3.4172783,59
batman-year-one,3.85,3.14,3.4167273,59
the-thief-of-bagdad,3.85,3.97,3.4153826,15
the-history-boys,3.85,3.2,3.4095728,15
the-secret-of-nimh,3.85,3.7,3.4089231,64
doctor-who-the-return-of-doctor-mysterio,3.85,2.89,3.4068685,14
now-voyager,3.85,3.55,3.4065077,32
roger-me,3.85,3.78,3.4019709,45
the-night-of,3.85,3.94,3.4001842,42
kinsey,3.85,3.06,3.3975205,25
the-last-witch-hunter,3.85,2.3,3.3968215,56
cop-out,3.85,1.77,3.3928561,42
dennis-the-menace,3.85,2.3,3.3919063,47
ride-along,3.85,2.58,3.3908434,59
love-death-robots-the-secret-war,3.85,3.15,3.3891633,49
love-death-robots-alternate-histories,3.85,2.65,3.3864741,49
tales-from-earthsea,3.85,2.6,3.3854494,65
decalogue-ix,3.85,3.73,3.3852396,31
abominable-2019,3.85,2.88,3.3828757,60
fearless-2006,3.85,3.0,3.376892,31
much-ado-about-nothing-2012,3.85,3.3,3.3757315,45
finch,3.84,3.35,3.3705175,59
dead-again,3.84,3.21,3.3700576,29
robot-frank,3.84,3.38,3.3698268,42
spring-2014,3.84,3.47,3.3674889,56
riddick,3.84,2.75,3.3608994,61
swordfish,3.84,2.53,3.358871,69
orange-county,3.84,2.68,3.3563151,38
2036-nexus-dawn,3.84,2.98,3.3538938,43
ferdinand,3.84,2.59,3.3513021,49
the-sparks-brothers,3.84,3.67,3.3501043,67
love-death-robots-beyond-the-aquila-rift,3.84,3.19,3.340622,52
mr-holmes,3.84,3.13,3.3373227,53
capone-2020,3.84,1.96,3.3359623,45
sahara-2005,3.83,2.78,3.3245144,44
rock-of-ages,3.83,2.31,3.321824,59
maggie-simpson-in-playdate-with-destiny,3.83,2.58,3.3216794,37
our-idiot-brother,3.83,2.95,3.3126342,50
vantage-point,3.83,2.75,3.3101697,50
joe-dirt,3.83,2.64,3.310103,64
tracks-2013,3.83,3.43,3.3040361,21
the-rundown,3.83,2.86,3.3038065,55
as-tears-go-by,3.83,3.47,3.2992473,64
dracula-untold,3.83,2.41,3.2959392,60
its-such-a-beautiful-day-2011,3.83,4.08,3.2922487,24
blade-runner-black-out-2022,3.83,3.49,3.2901027,49
the-english-patient,3.82,3.37,3.283303,63
history-of-the-world-part-i,3.82,3.06,3.278862,61
the-last-detail,3.82,3.93,3.2762723,68
for-sama,3.82,4.08,3.270331,44
apollo-18,3.82,1.9,3.2684946,39
hawaiian-vacation,3.82,3.27,3.2661393,41
lara-croft-tomb-raider-the-cradle-of-life,3.82,2.0,3.2642832,70
six-shooter,3.82,3.63,3.263373,41
mickey-blue-eyes,3.82,2.55,3.262988,20
here-comes-the-boom,3.82,2.13,3.2615137,50
death-at-a-funeral,3.82,3.3,3.260656,61
blow,3.82,3.23,3.2598894,70
beverly-hills-cop-ii,3.82,3.14,3.259495,68
jack-frost,3.82,2.09,3.2555218,57
toy-story-of-terror,3.82,3.34,3.25355,48
hercules-2014,3.82,2.52,3.2472692,66
the-hurricane,3.82,3.53,3.246693,32
radiohead-in-rainbows-from-the-basement,3.82,4.43,3.2456324,28
love-death-robots-all-through-the-house,3.82,3.08,3.2445822,44
john-mulaney-new-in-town,3.82,4.06,3.243206,69
father-frost,3.82,2.77,3.2408946,11
the-long-good-friday,3.81,3.87,3.2401774,56
shoot-em-up,3.81,3.04,3.2400084,46
good-night-and-good-luck,3.81,3.65,3.2336817,58
tom-and-jerry-the-magic-ring,3.81,2.31,3.2327554,21
red-state,3.81,2.9,3.228457,67
city-slickers,3.81,3.33,3.2280622,50
aladdin-and-the-king-of-thieves,3.81,2.63,3.2238045,57
only-the-brave-2017,3.81,3.6,3.2208457,58
serenity-2019,3.81,1.82,3.2208323,69
mr-brooks,3.81,3.16,3.2203927,41
the-ladykillers,3.81,3.66,3.218814,44
71,3.81,3.63,3.2186942,63
king-arthur,3.81,2.45,3.217139,47
house-of-flying-daggers,3.81,3.57,3.2149386,61
suffragette,3.81,3.1,3.213823,59
and-then-there-were-none,3.81,3.24,3.212597,35
leave-it-to-beaver,3.81,1.96,3.2124104,12
mr-right-2015,3.81,2.63,3.2117834,46
splice,3.81,2.8,3.2112813,66
just-like-heaven,3.81,2.9,3.2107372,69
w,3.81,2.96,3.2104268,36
float-2019,3.81,3.64,3.2097456,29
a-long-way-down,3.81,2.66,3.2093968,22
david-attenborough-a-life-on-our-planet,3.81,4.04,3.2061796,26
jesus-camp,3.81,3.47,3.2052734,64
fist-of-fury,3.81,3.5,3.2044003,50
ratcatcher,3.81,4.03,3.2000153,65
analyze-that,3.81,2.5,3.1977417,30
semi-pro,3.8,2.43,3.191362,52
bull-durham,3.8,3.69,3.1906686,70
smallfoot,3.8,2.76,3.188343,49
stargate,3.8,2.92,3.1876147,70
jack-the-giant-slayer,3.8,2.18,3.185028,60
harvey,3.8,3.79,3.184235,57
worlds-greatest-dad,3.8,3.16,3.1825197,59
the-day-the-earth-stood-still-2008,3.8,2.24,3.1811762,63
senna,3.8,4.1,3.1811457,58
the-proposition-2005,3.8,3.43,3.1807308,45
maggie-simpson-in-the-longest-daycare,3.8,3.24,3.1797967,31
le-deuxieme-souffle,3.8,3.83,3.1787395,12
the-wild,3.8,1.6,3.1782625,45
batman-ninja,3.8,2.81,3.1741345,59
the-ant-bully,3.8,1.75,3.1706007,63
shadow-in-the-cloud,3.8,2.76,3.169084,54
more-1998,3.8,4.12,3.1688433,16
dickson-greeting,3.8,2.54,3.1673193,12
man-on-a-ledge,3.8,2.45,3.167295,48
the-man-in-the-iron-mask-1998,3.8,2.92,3.1647048,60
live-by-night,3.8,2.43,3.1613894,47
battle-los-angeles,3.8,1.94,3.1584353,62
assassins,3.8,2.73,3.1578202,37
morvern-callar,3.8,3.64,3.157795,66
mickey-donald-goofy-the-three-musketeers,3.8,2.82,3.154859,53
premium-rush,3.8,2.88,3.1527672,60
the-phantom,3.79,2.24,3.1517663,37
the-rookie-2002,3.79,3.17,3.1475506,32
the-illusionist-2010,3.79,3.77,3.141863,45
the-gift,3.79,3.12,3.1391473,51
gamer,3.79,2.39,3.1379519,60
turner-hooch,3.79,2.88,3.136878,47
happening,3.79,3.92,3.1356874,61
ghosts-of-girlfriends-past,3.79,2.1,3.1352978,59
project-almanac,3.79,2.63,3.1345053,56
2-guns,3.79,2.76,3.1344614,68
an-american-tail,3.79,3.13,3.1341002,57
love-death-robots-the-witness,3.79,3.59,3.1340127,64
goon,3.79,3.28,3.1330626,69
love-death-robots-ice-age,3.79,2.66,3.1328988,65
teen-titans-the-judas-contract,3.79,3.07,3.1323628,27
seven-dwarfs,3.79,1.82,3.1322925,17
without-a-paddle,3.79,2.21,3.1322134,40
doctor-who-the-time-of-the-doctor,3.79,3.48,3.1310449,24
that-thing-you-do,3.79,3.52,3.1213665,60
miracle,3.79,3.32,3.1199567,60
lilo-stitch-2-stitch-has-a-glitch,3.79,2.78,3.1167903,52
an-adventure-in-space-and-time,3.79,3.79,3.116713,19
mile-22,3.79,2.03,3.1123986,44
end-of-days,3.79,2.42,3.1107929,51
along-came-polly,3.79,2.43,3.1106398,68
the-mexican,3.79,2.62,3.110579,44
baseketball,3.79,2.77,3.1087027,54
a-parks-and-recreation-special,3.79,3.65,3.1085377,26
rugrats-in-paris-the-movie,3.79,2.69,3.1080952,51
the-last-emperor,3.78,3.6,3.1050828,59
patton,3.78,3.64,3.1048,69
rv,3.78,1.98,3.1043763,59
transporter-2,3.78,2.7,3.1039574,70
love-death-robots-the-very-pulse-of-the-machine,3.78,3.19,3.1031113,39
kicking-screaming,3.78,2.65,3.099496,52
beverly-hills-cop-iii,3.78,2.25,3.0967355,46
lone-wolf-and-cub-baby-cart-in-peril,3.78,3.73,3.0926924,24
from-hell,3.78,2.95,3.0924687,64
zatoichi,3.78,3.38,3.092092,29
john-dies-at-the-end,3.78,3.25,3.0918446,53
the-bubble-2022,3.78,1.55,3.0914156,69
nanny-mcphee-returns,3.78,2.42,3.0911393,46
the-pink-panther-2,3.78,1.74,3.0904756,58
love-death-robots-jibaro,3.78,4.0,3.088457,42
the-masque-of-the-red-death,3.78,3.58,3.0867167,52
scooby-doo-legend-of-the-phantosaur,3.78,3.12,3.0839434,12
abducted-in-plain-sight,3.78,3.05,3.0826025,58
a-shaun-the-sheep-movie-farmageddon,3.78,3.26,3.0802746,64
who-am-i-2014,3.78,3.07,3.079561,28
roman-j-israel-esq,3.78,2.8,3.0725303,51
agent-cody-banks,3.78,2.24,3.0686142,47
the-number-23,3.78,2.22,3.0674586,60
dark-water,3.78,3.39,3.066794,56
the-toxic-avenger,3.78,3.19,3.064872,58
star-trek-iii-the-search-for-spock,3.77,3.34,3.0637455,67
ali-g-indahouse,3.77,2.74,3.0628448,69
the-good-shepherd,3.77,2.91,3.0624018,27
the-gambler-2014,3.77,2.42,3.0598352,48
bully,3.77,3.51,3.05787,54
cold-pursuit,3.77,2.89,3.0574799,58
the-bad-sleep-well,3.77,4.07,3.056654,53
mutiny-on-the-bounty,3.77,3.51,3.056212,41
two-weeks-notice,3.77,2.67,3.0560617,63
life-itself,3.77,3.85,3.0528228,68
next-friday,3.77,2.63,3.0521283,23
teenage-mutant-ninja-turtles-iii,3.77,1.86,3.0508213,29
concussion-2015,3.77,3.03,3.0498614,46
shock-treatment,3.77,2.64,3.049797,18
the-ghost-writer,3.77,3.5,3.043594,68
the-fantastic-four,3.77,2.17,3.0424957,29
the-sitter,3.77,2.2,3.0423214,53
viridiana,3.77,3.84,3.0412714,67
the-circus,3.77,3.85,3.0382712,69
the-snowman,3.77,3.91,3.0373797,47
harry-brown,3.77,3.09,3.0336375,29
smurfs-the-lost-village,3.77,1.97,3.0332065,45
religulous,3.77,2.63,3.0318925,39
spawn,3.77,1.77,3.0313091,56
spy-hard,3.77,2.21,3.0255303,31
safe-2012,3.77,2.78,3.0229707,41
happy-go-lucky,3.77,3.78,3.022788,63
the-forbidden-kingdom,3.77,2.78,3.0216208,43
any-given-sunday,3.76,3.17,3.020044,42
the-big-country,3.76,3.93,3.017167,21
doctor-who-dark-water-death-in-heaven,3.76,3.86,3.0112553,14
somethings-gotta-give,3.76,3.01,3.0097902,69
godzilla-vs-destoroyah,3.76,3.67,3.0095267,30
melody-time,3.76,2.4,3.007155,40
tarzan-jane,3.76,2.02,3.0045567,24
the-judge-2014,3.76,2.83,3.0007977,70
judgement-1999,3.76,3.45,3.0003843,11
la-vie-en-rose,3.76,3.28,2.997051,44
battle-at-big-rock,3.76,2.87,2.9910474,34
the-pink-panther-1963,3.76,3.16,2.9903655,58
drop-dead-fred,3.76,2.91,2.989953,34
the-perfect-score,3.76,2.37,2.9897237,23
outbreak,3.76,2.94,2.9887269,64
out-of-the-furnace,3.76,3.13,2.9885774,63
the-american-president,3.76,3.42,2.986096,43
high-anxiety,3.76,2.93,2.9848223,44
enemy-at-the-gates,3.76,3.27,2.9813213,47
st-vincent,3.76,3.16,2.9804854,63
animal-farm,3.76,3.19,2.979855,42
chitty-chitty-bang-bang,3.76,3.0,2.979644,67
flags-of-our-fathers,3.76,3.16,2.9776516,43
the-three-caballeros,3.76,2.78,2.9772978,49
happy-feet-two,3.75,2.19,2.9760718,63
jack-ryan-shadow-recruit,3.75,2.65,2.9714792,63
stillwater-2021,3.75,3.26,2.9702094,64
teen-titans-trouble-in-tokyo,3.75,3.16,2.970005,25
push-2009,3.75,2.49,2.9698043,44
kitbull,3.75,3.9,2.969616,70
an-inconvenient-truth,3.75,3.05,2.9693832,44
battle-for-the-planet-of-the-apes,3.75,2.47,2.9691105,51
defending-your-life,3.75,3.76,2.9680119,51
batman-beyond-return-of-the-joker,3.75,3.54,2.966261,51
bojack-horseman-christmas-special,3.75,4.22,2.9642258,36
on-flux-2005,3.75,2.09,2.961245,67
batman-vs-robin,3.75,3.13,2.961214,47
the-personal-history-of-david-copperfield,3.75,3.38,2.9604228,60
oliver-company,3.75,2.99,2.9598517,69
copycat,3.75,3.09,2.9592638,33
cold-mountain,3.75,3.07,2.9585125,45
muppets-haunted-mansion,3.75,2.94,2.9584563,59
the-sword-of-doom,3.75,4.01,2.9581223,56
sputnik-2020,3.75,2.83,2.9574685,47
outlaw-king,3.75,3.11,2.956845,66
ghost-town,3.75,2.96,2.9565105,34
robin-robin,3.75,3.43,2.955666,66
dom-hemingway,3.75,2.72,2.955467,25
vivo,3.75,2.97,2.954001,37
midway-2019,3.75,2.35,2.9539642,56
american-factory,3.75,3.57,2.953781,62
home-team-2022,3.75,1.75,2.9517605,26
bombay-talkies,3.75,3.05,2.951684,10
the-beaver,3.75,3.06,2.95108,32
always,3.75,2.78,2.9478192,40
swing-time,3.75,3.34,2.946593,35
the-mechanic-2011,3.75,2.73,2.9465063,53
the-caine-mutiny,3.75,3.6,2.945891,21
the-rover,3.75,3.3,2.945129,66
i-huckabees,3.75,3.39,2.9451232,60
aparajito,3.75,4.16,2.9419024,54
nick-of-time,3.75,2.78,2.9411116,20
to-rome-with-love,3.75,2.83,2.9410536,48
ferngully-the-last-rainforest,3.75,2.85,2.9404774,50
the-tuxedo,3.75,2.16,2.9372907,40
i-spy,3.75,2.28,2.9350681,23
bestia-2021,3.75,3.39,2.934333,42
mickeys-once-upon-a-christmas,3.75,2.97,2.9343293,51
the-medallion,3.74,2.44,2.933648,27
mighty-morphin-power-rangers-the-movie,3.74,2.62,2.9336436,45
the-rescuers-down-under,3.74,3.12,2.932595,66
win-win,3.74,3.24,2.9323342,29
room-in-rome,3.74,2.65,2.9314735,10
intolerance-loves-struggle-throughout-the-ages,3.74,3.66,2.9296641,48
hitmans-wifes-bodyguard,3.74,2.5,2.9296484,61
love-death-robots-ice,3.74,3.15,2.92914,37
superman-red-son-2020,3.74,3.05,2.927312,32
analyze-this,3.74,3.16,2.924797,60
six-men-getting-sick,3.74,3.08,2.9224076,49
the-play-house,3.74,3.48,2.9215434,24
pawn-sacrifice,3.74,2.98,2.9206665,47
rudy,3.74,2.99,2.9189577,42
never-say-never-again,3.74,2.62,2.916582,52
love-death-robots-suits,3.74,2.95,2.9160357,58
big-mommas-house,3.74,2.15,2.911683,69
party-central,3.74,3.15,2.9106138,33
the-beta-test,3.74,3.38,2.9098678,59
collective,3.74,3.93,2.9091954,64
heavy-metal,3.74,3.16,2.9084306,61
the-astronomers-dream,3.74,3.63,2.907465,50
seberg,3.74,2.48,2.9072747,30
sherlock-the-lying-detective,3.74,3.11,2.9068785,27
the-shaggy-dog-2006,3.74,1.55,2.9030237,43
girlfriends-day,3.74,2.32,2.9022045,11
the-three-musketeers-2011,3.74,2.19,2.9002128,53
barking-dogs-never-bite,3.74,3.32,2.8998835,65
death-race,3.74,2.43,2.899738,63
shattered-glass,3.74,3.68,2.8996046,44
the-love-bug,3.74,2.88,2.8986375,24
futurama-benders-big-score,3.74,3.67,2.8984747,39
a-night-at-the-opera,3.74,3.51,2.8980827,48
love-death-robots-zima-blue,3.74,3.93,2.8971453,66
parenthood,3.74,3.38,2.894215,53
universal-soldier,3.74,2.97,2.8922815,56
triple-9,3.74,2.75,2.8911982,51
the-visitors,3.73,2.65,2.890067,17
female-prisoner-701-scorpion,3.73,3.83,2.8893118,46
the-imaginarium-of-doctor-parnassus,3.73,3.17,2.8890805,57
boss-level,3.73,2.97,2.8889174,70
the-asphalt-jungle,3.73,3.76,2.88865,55
leap-of-faith,3.73,2.91,2.8863356,11
the-jerk,3.73,3.71,2.8850255,70
the-happytime-murders,3.73,1.87,2.8842278,56
pusher-ii,3.73,3.87,2.8831306,52
summer-of-sam,3.73,3.49,2.8825278,34
point-break-2015,3.73,1.82,2.8824966,34
decalogue-i,3.73,4.11,2.879655,56
the-light-between-oceans,3.73,2.9,2.87641,41
umberto-d,3.73,4.08,2.8758662,70
cold-in-july,3.73,3.61,2.8728266,37
fahrenheit-11-9,3.73,3.38,2.8708167,48
for-the-birds,3.73,3.24,2.8683927,67
mannequin-1987,3.73,2.64,2.868193,25
the-one,3.73,2.44,2.8678212,62
the-people-vs-larry-flynt,3.73,3.59,2.8675811,59
clash-of-the-titans,3.73,3.23,2.8650014,43
death-at-a-funeral-2010,3.73,2.45,2.8649836,37
newsies,3.73,2.95,2.8641703,29
good-boy,3.73,1.6,2.8632662,10
mrs-miniver,3.73,3.73,2.8628047,39
frosty-returns,3.73,2.12,2.8627508,12
six-degrees-of-separation,3.73,3.5,2.860839,20
hulk-vs-wolverine,3.73,3.29,2.8601131,19
ghost-stories-2017,3.73,3.21,2.8591185,60
planes-fire-rescue,3.73,2.01,2.8587344,39
drive-angry,3.73,2.4,2.856931,55
one-two-three,3.73,3.89,2.8567734,32
australia,3.73,2.36,2.8564506,58
love-death-robots-shape-shifters,3.73,2.74,2.8564136,50
gunpowder-milkshake,3.73,2.74,2.8559637,67
harts-war,3.73,2.67,2.8529196,15
in-the-bedroom,3.73,3.75,2.851035,50
land-of-mine,3.73,3.9,2.8510141,41
whiplash-2013,3.73,3.86,2.8494236,59
station-eleven,3.73,4.04,2.8487327,24
i-kill-giants,3.72,2.8,2.8482947,25
cats-dogs-the-revenge-of-kitty-galore,3.72,1.24,2.8476505,36
macgruber,3.72,3.14,2.845348,55
the-red-balloon,3.72,3.91,2.8442824,70
batman-hush,3.72,2.83,2.8429844,57
tmnt,3.72,2.54,2.8425388,60
macario,3.72,3.93,2.842105,21
creepshow-2,3.72,2.73,2.8418455,50
son-of-batman,3.72,2.95,2.8411,39
turbo-kid,3.72,3.24,2.8408015,56
hoop-dreams,3.72,4.18,2.8401268,70
the-lord-of-the-rings-collection,3.72,4.36,2.839407,48
doctor-who-the-snowmen,3.72,3.43,2.838429,23
charlie-bartlett,3.72,3.14,2.8360088,51
wet-hot-american-summer-ten-years-later,3.72,3.18,2.8345761,19
mimic,3.72,2.7,2.8341885,69
robin-hood-2018,3.72,1.69,2.8338966,49
dont-hug-me-im-scared-3,3.72,3.61,2.833523,42
how-green-was-my-valley,3.72,3.76,2.831117,61
flatliners,3.72,3.01,2.830738,67
stanley-kubrick-a-life-in-pictures,3.72,3.83,2.8302374,15
my-week-with-marilyn,3.72,3.06,2.8268402,50
contraband-2012,3.72,2.35,2.8268008,37
batman-the-long-halloween-part-two,3.72,3.52,2.826331,51
samurai-iii-duel-at-ganryu-island,3.72,3.44,2.8247497,17
scooby-doo-camp-scare,3.72,3.02,2.8240514,27
patch-adams,3.72,2.67,2.8227396,56
biutiful,3.72,3.47,2.8222613,68
the-protege,3.72,2.4,2.8217025,43
bay-of-angels,3.72,3.82,2.821334,38
mortdecai,3.72,1.68,2.8205678,42
surrogates,3.72,2.43,2.8196447,36
wonder-boys,3.72,3.42,2.8196325,43
back-to-school,3.72,3.1,2.8189542,36
bajirao-mastani,3.72,3.14,2.816276,14
us-marshals,3.72,2.72,2.8155508,38
big-fan,3.72,3.32,2.8149188,22
the-dig-2021,3.72,3.14,2.8146715,70
der-fuehrers-face,3.72,3.65,2.8144364,13
fletch,3.72,3.11,2.8142824,70
police-story-4-first-strike,3.72,3.08,2.8126664,24
lifeboat,3.72,3.75,2.8126016,59
the-score,3.72,3.03,2.8120883,39
red-riding-hood-2011,3.72,1.87,2.811317,54
kate-leopold,3.72,2.8,2.8105965,46
short-circuit,3.72,2.89,2.8101754,50
attica-2021,3.72,3.54,2.8088078,42
the-parent-trap,3.71,3.26,2.805403,21
dr-horribles-sing-along-blog,3.71,3.57,2.804145,52
education-2020,3.71,3.57,2.8032246,44
the-second-renaissance-part-i,3.71,3.22,2.803052,20
white-noise,3.71,2.08,2.8025618,20
two-brothers-2004,3.71,2.88,2.8000581,16
mississippi-grind,3.71,3.31,2.799325,52
what-dreams-may-come,3.71,2.9,2.798356,51
chhichhore,3.71,3.23,2.7946992,11
mr-magoriums-wonder-emporium,3.71,2.51,2.7932508,45
nowhere-boy,3.71,3.07,2.7921112,36
the-muppets-take-manhattan,3.71,3.4,2.7913766,53
the-triplets-of-belleville,3.71,3.75,2.789635,67
sonatine,3.71,3.89,2.7881174,70
hotel-mumbai,3.71,3.44,2.787282,47
the-long-goodbye-2020,3.71,3.74,2.7871628,46
pillow-talk,3.71,3.39,2.786308,33
charlie-wilsons-war,3.71,3.02,2.7846313,65
one-wonderful-sunday,3.71,3.68,2.783217,14
cosmos-a-spacetime-odyssey,3.71,3.88,2.7831597,13
world-trade-center,3.71,2.44,2.7823427,45
velvet-goldmine,3.71,3.65,2.7813544,70
steamboat-bill-jr,3.71,3.85,2.7813053,50
immortals,3.71,2.49,2.7811565,43
terrified-2017,3.71,3.08,2.7792711,56
and-justice-for-all,3.71,3.47,2.778254,30
once-upon-a-deadpool,3.71,2.67,2.7765534,36
stan-ollie,3.71,3.23,2.7735667,42
weekend-at-bernies,3.71,2.74,2.773439,60
chernobyl-diaries,3.71,2.08,2.773427,50
tamasha,3.71,3.35,2.7713687,13
i-know-where-im-going,3.71,3.75,2.769633,40
sex-drive,3.71,2.89,2.768477,40
half-nelson,3.71,3.58,2.7682934,70
the-last-king-of-scotland,3.71,3.45,2.7680998,59
rabbit-hole,3.71,3.52,2.7679844,44
the-thin-blue-line,3.71,3.95,2.7678742,65
quo-vadis-aida,3.71,3.9,2.7673569,68
air-bud,3.71,2.42,2.7655053,52
death-on-the-nile,3.71,3.49,2.7648487,38
heavyweights,3.71,3.1,2.7643,40
when-the-wind-blows,3.7,4.17,2.7634492,32
sicko,3.7,3.51,2.7634327,36
national-lampoons-van-wilder,3.7,2.5,2.7625396,38
this-is-where-i-leave-you,3.7,2.92,2.7609823,60
the-lego-star-wars-holiday-special,3.7,2.79,2.7609143,29
far-from-the-tree-2021,3.7,3.66,2.7598577,34
bullet-in-the-head,3.7,3.89,2.7596984,42
team-thor-part-2,3.7,3.34,2.759076,37
marvel-one-shot-item-47,3.7,2.81,2.758565,31
the-diving-bell-and-the-butterfly,3.7,3.88,2.7572675,68
what-about-bob,3.7,3.33,2.7569466,67
val,3.7,3.61,2.756022,65
sweet-home-alabama,3.7,2.75,2.7549505,56
when-we-first-met,3.7,2.61,2.7546196,52
iron-sky,3.7,2.45,2.7543502,33
let-it-be,3.7,3.37,2.7536297,15
superman-batman-apocalypse,3.7,3.02,2.7524734,30
